"bioguide_id","party","industry_id","contributions_count","contributions_total","year","month"
"B000944","Democrat","K1000","1","750","1979","10"
"S001142","Republican","A5000","1","1000","1959","3"
"M000627","Democrat","K1000","1","250","1962","10"
"B000213","Republican","H5100","1","300","1933","4"
"T000038","Democrat","Y4000","1","-250","1970","7"
"K000148","Democrat","F5100","1","375","1939","9"
"M000834","Ind. Democrat","K1000","2","500","1981","9"
"S000059","Republican","T5200","1","700","1981","9"
"M001111","Democrat","X1200","1","250","1979","4"
"C000714","Democrat","K1000","1","500","1982","8"
