"recipient_ext_id","crp_name","party","dist_id_run_for","fec_cand_id"
"N00034296","Aalders, Tim","R","UTS1","S2UT00229"
"N00034306","Aanestad, Samuel","R","CA01","H2CA01110"
"N00033243","Abarr, John Allen","R","MT01","H2MT00039"
"N00034250","Aboud, Paula","D","AZ02","H2AZ02279"
"N00001143","Ackerman, Gary","D","NY06","H4NY07011"
"N00034267","Ackerman, Michael","D","KY05","H2KY05144"
"N00034493","Acosta, Dante","R","CA25","H2CA25176"
"N00034924","Adams Jr, Eddie","R","FL14","H2FL14202"
"N00034307","Adams, Anthony","I","CA08","H2CA08180"
"N00032432","Adams, John","R","OH03","H0OH15099"
