"first_name","last_name","official_full","party","thomas_id","bioguide_id","opensecrets_id","fec_id","votesmart_id","ballotpedia","lis_id","wikipedia_id","govtrack_id","maplight_id","icpsr_id","cspan_id","house_history_id","washington_post_id","gender","birthday","religion","term_start","term_end","term_state","term_type","district","term_state_rank"
"Sherrod","Brown","Sherrod Brown","Democrat","00136","B000944","N00003535","H2OH13033S6OH00163","27018","Sherrod Brown","S307","Sherrod Brown","400050","7573","29389","26171","9996","gIQA3O2w9O","M","1952-11-09","Lutheran","726192000",,"OH","rep","13",
"Sherrod","Brown","Sherrod Brown","Democrat","00136","B000944","N00003535","H2OH13033S6OH00163","27018","Sherrod Brown","S307","Sherrod Brown","400050","7573","29389","26171","9996","gIQA3O2w9O","M","1952-11-09","Lutheran","789177600",,"OH","rep","13",
"Sherrod","Brown","Sherrod Brown","Democrat","00136","B000944","N00003535","H2OH13033S6OH00163","27018","Sherrod Brown","S307","Sherrod Brown","400050","7573","29389","26171","9996","gIQA3O2w9O","M","1952-11-09","Lutheran","852595200",,"OH","rep","13",
"Sherrod","Brown","Sherrod Brown","Democrat","00136","B000944","N00003535","H2OH13033S6OH00163","27018","Sherrod Brown","S307","Sherrod Brown","400050","7573","29389","26171","9996","gIQA3O2w9O","M","1952-11-09","Lutheran","915580800",,"OH","rep","13",
"Sherrod","Brown","Sherrod Brown","Democrat","00136","B000944","N00003535","H2OH13033S6OH00163","27018","Sherrod Brown","S307","Sherrod Brown","400050","7573","29389","26171","9996","gIQA3O2w9O","M","1952-11-09","Lutheran","978480000",,"OH","rep","13",
"Sherrod","Brown","Sherrod Brown","Democrat","00136","B000944","N00003535","H2OH13033S6OH00163","27018","Sherrod Brown","S307","Sherrod Brown","400050","7573","29389","26171","9996","gIQA3O2w9O","M","1952-11-09","Lutheran","1041897600",,"OH","rep","13",
"Sherrod","Brown","Sherrod Brown","Democrat","00136","B000944","N00003535","H2OH13033S6OH00163","27018","Sherrod Brown","S307","Sherrod Brown","400050","7573","29389","26171","9996","gIQA3O2w9O","M","1952-11-09","Lutheran","1104796800",,"OH","rep","13",
"Maria","Cantwell","Maria Cantwell","Democrat","00172","C000127","N00007836","S8WA00194H2WA01054","27122","Maria Cantwell","S275","Maria Cantwell","300018","4541","39310","26137","10608","gIQAZxKkDP","F","1958-10-13","Roman Catholic","726192000",,"WA","rep","1",
"Benjamin","Cardin","Benjamin L. Cardin","Democrat","00174","C000141","N00001955","H6MD03177S6MD03177","26888","Ben Cardin","S308","Ben Cardin","400064","7556","15408","4004","10629","gIQAGMu99O","M","1943-10-05","Jewish","536889600",,"MD","rep","3",
"Benjamin","Cardin","Benjamin L. Cardin","Democrat","00174","C000141","N00001955","H6MD03177S6MD03177","26888","Ben Cardin","S308","Ben Cardin","400064","7556","15408","4004","10629","gIQAGMu99O","M","1943-10-05","Jewish","599788800",,"MD","rep","3",
