|2000|,|1430708|,|C00000059|,|Hallmark Cards|,||,||,|  |,|     |,||,|C1400|,06/08/2000,1000.0,|C00341867|,,|C00341867|,|PI|,|J1200|,|A|,|M7 |,|P|,|20035983133|,|24K|,|C1400|,|PAC  |
|2000|,|0062108|,|C00000372|,|Maintenance of Way Employees|,||,||,|  |,|     |,||,|LT400|,03/16/1999,5000.0,|C00190876|,|D|,|C00190876|,|PI|,|J2100|,|N|,|M4 |,|P|,|99034461953|,|24K|,|LT400|,|PAC  |
|2000|,|0397553|,|C00000372|,|Maintenance of Way Employees|,||,||,|  |,|     |,||,|LT400|,07/31/1999,1000.0,|C00147512|,,|C00147512|,|PI|,|J7500|,|N|,|M8 |,|P|,|99034784637|,|24K|,|LT400|,|PAC  |
|2000|,|1325828|,|C00000372|,|Maintenance of Way Employees|,||,||,|  |,|     |,||,|LT400|,06/08/2000,35000.0,|C00010603|,|D|,|C00010603|,|DP|,|Z5200|,|N|,|M7 |,|P|,|20035881685|,|24K|,|LT400|,|PAC  |
|2000|,|1146337|,|C00000372|,|Maintenance of Way Employees|,||,||,|  |,|     |,||,|LT400|,05/09/2000,15000.0,|C00010603|,|D|,|C00010603|,|DP|,|Z5200|,|A|,|M6 |,|P|,|20035732124|,|24K|,|LT400|,|PAC  |
|2000|,|0825273|,|C00000372|,|Maintenance of Way Employees|,||,||,|  |,|     |,||,|LT400|,11/21/1999,1092.0,|C00010603|,|D|,|C00010603|,|DP|,|Z5200|,|A|,|M12|,|P|,|20035043806|,|24Z|,|LT400|,|PAC  |
|2000|,|1491090|,|C00000372|,|Maintenance of Way Employees|,|SOUTH DAKOTA DEMOCRATIC PARTY|,|SIOUX FALLS|,|SD|,|57101|,||,|LT400|,10/05/2000,1000.0,|C00160937|,|D|,|C00160937|,|DP|,|Z5200|,|N|,|12G|,|G|,|20990227762|,|24K|,|LT400|,|PAC  |
|2000|,|0079737|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,04/28/1999,15000.0,|C00042366|,|D|,|C00042366|,|DP|,|Z5200|,|N|,|M5 |,|P|,|99034493582|,|24K|,|H1100|,|PAC  |
|2000|,|1068453|,|C00000372|,|Maintenance of Way Employees|,||,||,|  |,|     |,||,|LT400|,04/13/2000,550.0,|C00160937|,|D|,|C00160937|,|DP|,|Z5200|,|N|,|M5 |,|P|,|20035582436|,|24K|,|LT400|,|PAC  |
|2000|,|0092716|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,05/27/1999,15000.0,|C00003418|,|R|,|C00003418|,|RP|,|Z5100|,|N|,|M6 |,|P|,|99034524370|,|24K|,|H1100|,|PAC  |
|2000|,|1002957|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,03/21/2000,15000.0,|C00347864|,|D|,|C00347864|,|DP|,|Z5200|,|N|,|M4 |,|P|,|20035511172|,|24K|,|H1100|,|PAC  |
|2000|,|0092709|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,05/19/1999,15000.0,|C00002931|,|R|,|C00002931|,|RP|,|Z5100|,|N|,|M6 |,|P|,|99034524369|,|24K|,|H1100|,|PAC  |
|2000|,|0364443|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,07/28/1999,15000.0,|C00027466|,|R|,|C00027466|,|RP|,|Z5100|,|N|,|M8 |,|P|,|99034771014|,|24K|,|H1100|,|PAC  |
|2000|,|0476308|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,09/20/1999,15000.0,|C00010603|,|D|,|C00010603|,|DP|,|Z5200|,|N|,|M10|,|P|,|99034882259|,|24K|,|H1100|,|PAC  |
|2000|,|0489204|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,10/12/1999,15000.0,|C00347864|,|D|,|C00347864|,|DP|,|Z5200|,|N|,|M11|,|P|,|99034921744|,|24K|,|H1100|,|PAC  |
|2000|,|1121172|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,05/16/2000,5000.0,|C00027466|,|R|,|C00027466|,|RP|,|Z5100|,|N|,|M6 |,|P|,|20035664418|,|24K|,|H1100|,|PAC  |
|2000|,|1121183|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,05/19/2000,15000.0,|C00042366|,|D|,|C00042366|,|DP|,|Z5200|,|N|,|M6 |,|P|,|20035664420|,|24K|,|H1100|,|PAC  |
|2000|,|1270964|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,06/21/2000,15000.0,|C00003418|,|R|,|C00003418|,|RP|,|Z5100|,|N|,|M7 |,|P|,|20035851498|,|24K|,|H1100|,|PAC  |
|2000|,|1270965|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,06/21/2000,10000.0,|C00027466|,|R|,|C00027466|,|RP|,|Z5100|,|N|,|M7 |,|P|,|20035851498|,|24K|,|H1100|,|PAC  |
|2000|,|1270959|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,06/06/2000,15000.0,|C00002931|,|R|,|C00002931|,|RP|,|Z5100|,|N|,|M7 |,|P|,|20035851497|,|24K|,|H1100|,|PAC  |
|2000|,|1270962|,|C00000422|,|American Medical Assn|,||,||,|  |,|     |,||,|H1100|,06/07/2000,15000.0,|C00010603|,|D|,|C00010603|,|DP|,|Z5200|,|N|,|M7 |,|P|,|20035851498|,|24K|,|H1100|,|PAC  |
|2000|,|0580691|,|C00000547|,|Kansas Medical Assn|,||,||,|  |,|     |,||,|H1100|,07/21/1999,50.0,|C00000422|,,|C00000422|,|PB|,|H1100|,|N|,|YE |,|P|,|20035043410|,|24G|,|H1100|,|PAC  |
|2000|,|0580692|,|C00000547|,|Kansas Medical Assn|,||,||,|  |,|     |,||,|H1100|,08/23/1999,20.0,|C00000422|,,|C00000422|,|PB|,|H1100|,|N|,|YE |,|P|,|20035043410|,|24G|,|H1100|,|PAC  |
|2000|,|0580693|,|C00000547|,|Kansas Medical Assn|,||,||,|  |,|     |,||,|H1100|,11/24/1999,2550.0,|C00000422|,,|C00000422|,|PB|,|H1100|,|N|,|YE |,|P|,|20035043410|,|24G|,|H1100|,|PAC  |
