bioguide_id,recipient_ext_id,chamber,state_name,first_name,last_name,party,in_office,website,contact_form,
B001259,N00027464,house,Iowa,Bruce,Braley,D,True,brucebraley,http://braley.house.gov,https://forms.house.gov/braley/webforms/issue_subscribe.html,
W000814,N00033539,house,Texas,Randy,Weber,R,True,TXRandy14,http://weber.house.gov,None,
C001038,N00001127,house,New York,Joseph,Crowley,D,True,repjoecrowley,http://crowley.house.gov,https://forms.house.gov/crowley/contact.shtml,
W000800,N00000515,house,Vermont,Peter,Welch,D,True,PeterWelch,http://www.welch.house.gov,http://www.house.gov/formwelch/issue_subscribe.htm,
R000591,N00030768,house,Alabama,Martha,Roby,R,True,RepMarthaRoby,http://roby.house.gov,None,
F000043,N00001746,house,Pennsylvania,Chaka,Fattah,D,True,chakafattah,http://www.house.gov/fattah,http://fattah.house.gov/?sectionid=8&sectiontree=8,
D000533,N00003209,house,Tennessee,John,Duncan,R,True,None,http://www.house.gov/duncan,http://www.house.gov/duncan/contactform_zipcheck.shtml,
N000147,N00001692,house,District of Columbia,Eleanor,Norton,D,True,EleanorNorton,http://www.house.gov/norton,http://www.norton.house.gov/forms/contact.html,
S001162,N00001579,house,Pennsylvania,Allyson,Schwartz,D,True,None,http://www.house.gov/schwartz,http://schwartz.house.gov/issue_subscribe.shtml,
M001179,N00031777,house,Pennsylvania,Tom,Marino,R,True,RepTomMarino,http://marino.house.gov,None,
G000377,N00008799,house,Texas,Kay,Granger,R,True,RepKayGranger,http://kaygranger.house.gov,http://kaygranger.house.gov/?sectionid=46&sectiontree=46,
F000445,N00013799,house,Virginia,J.,Forbes,R,True,Randy_Forbes,http://forbes.house.gov/,http://forbes.house.gov/zipauth.html,
H001058,N00030673,house,Michigan,Bill,Huizenga,R,True,rephuizenga,http://huizenga.house.gov,None,
L000580,N00029400,house,New Mexico,Michelle,Lujan Grisham,D,True,replujangrisham,http://lujangrisham.house.gov,None,
P000594,N00029391,house,Minnesota,Erik,Paulsen,R,True,RepErikPaulsen,http://paulsen.house.gov,https://forms.house.gov/paulsen/contact-form.shtml,
S001180,N00030071,house,Oregon,Kurt,Schrader,D,True,repschrader,http://schrader.house.gov,https://forms.house.gov/schrader/contact-form.shtml,
S001154,N00013770,house,Pennsylvania,Bill,Shuster,R,True,RepBillShuster,http://www.house.gov/shuster,http://www.house.gov/shuster/zipauth.htm,
M001153,N00026050,senate,Alaska,Lisa,Murkowski,R,True,lisamurkowski,http://www.murkowski.senate.gov,http://www.murkowski.senate.gov/public/index.cfm?p=Contact,
P000588,N00012672,house,New Mexico,Stevan,Pearce,R,True,RepStevePearce,http://pearce.house.gov,None,
D000598,N00009604,house,California,Susan,Davis,D,True,RepSusanDavis,http://www.house.gov/susandavis,http://www.house.gov/susandavis/contact.shtml,
T000467,N00029736,house,Pennsylvania,Glenn,Thompson,R,True,CongressmanGT,http://thompson.house.gov,https://forms.house.gov/thompson/contact-form.shtml,
M001177,N00006863,house,California,Tom,McClintock,R,True,RepMcClintock,http://mcclintock.house.gov,https://forms.house.gov/mcclintock/contact-form.shtml,
C001092,N00001285,house,New York,Chris,Collins,R,True,RepChrisCollins,http://chriscollins.house.gov,None,
Q000023,N00030581,house,Illinois,Mike,Quigley,D,True,RepMikeQuigley,http://quigley.house.gov,https://forms.house.gov/quigley/contact-form.shtml,
E000291,N00031513,house,North Carolina,Renee,Ellmers,R,True,RepReneeEllmers,http://ellmers.house.gov,None,
S000344,N00006897,house,California,Brad,Sherman,D,True,BradSherman,http://bradsherman.house.gov,http://www.house.gov/sherman/contact/,
C001100,,senate,New Jersey,Jeffrey,Chiesa,R,True,ChiesaNews,http://www.chiesa.senate.gov,mailto:Senator_Chiesa@Chiesa.Senate.gov,
O000168,N00029285,house,Texas,Pete,Olson,R,True,OlsonPressShop,http://olson.house.gov,https://forms.house.gov/olson/contact-form.shtml,
D000607,N00026586,senate,Indiana,Joe,Donnelly,D,True,SenDonnelly,http://www.donnelly.senate.gov,http://www.donnelly.senate.gov/contact/email-joe,
C001083,N00030736,house,Delaware,John,Carney,D,True,johncarneyde,http://johncarney.house.gov,https://forms.house.gov/carney/webforms/email-me.shtml,
S001189,N00032457,house,Georgia,Austin,Scott,R,True,AustinScottGA08,http://austinscott.house.gov,None,
D000622,N00027860,house,Illinois,Tammy,Duckworth,D,True,repduckworth,http://duckworth.house.gov,None,
H001032,N00000860,house,New Jersey,Rush,Holt,D,True,None,http://holt.house.gov,https://forms.house.gov/holt/webforms/issue_subscribe.htm,
G000556,N00028418,house,Florida,Alan,Grayson,D,True,None,http://grayson.house.gov,None,
M000404,N00009829,house,Washington,Jim,McDermott,D,True,RepJimMcDermott,http://www.house.gov/mcdermott,http://www.house.gov/mcdermott/contact.shtml,
M001160,N00026914,house,Wisconsin,Gwen,Moore,D,True,RepGwenMoore,http://www.house.gov/gwenmoore,http://www.house.gov/gwenmoore/contact.shtml,
P000596,N00029168,house,Puerto Rico,Pedro,Pierluisi,D,True,pedropierluisi,http://pierluisi.house.gov,https://forms.house.gov/pierluisi/contact-form.shtml,
Y000064,N00030670,house,Indiana,Todd,Young,R,True,RepToddYoung,http://toddyoung.house.gov,None,
L000560,N00009759,house,Washington,Rick,Larsen,D,True,RepRickLarsen,http://www.house.gov/larsen,http://www.house.gov/larsen/contact/,
B001270,N00031877,house,California,Karen,Bass,D,True,RepKarenBass,http://bass.house.gov,None,
F000460,N00031672,house,Texas,Blake,Farenthold,R,True,farenthold,http://farenthold.house.gov,None,
C001051,N00025095,house,Texas,John,Carter,R,True,JudgeCarter,http://carter.house.gov,https://forms.house.gov/wyr/welcome.shtml,
E000292,N00034884,house,Illinois,William,Enyart,D,True,repbillenyart,http://enyart.house.gov,None,
K000360,N00012539,senate,Illinois,Mark,Kirk,R,True,senatorkirk,http://www.kirk.senate.gov,http://www.kirk.senate.gov/?p=contact,
B001236,N00013873,senate,Arkansas,John,Boozman,R,True,JohnBoozman,http://www.boozman.senate.gov,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,
G000567,N00031297,house,Arkansas,Tim,Griffin,R,True,RepTimGriffin,http://griffin.house.gov,None,
S001157,N00024871,house,Georgia,David,Scott,D,True,repdavidscott,http://davidscott.house.gov,http://www.house.gov/writerep,
S001176,N00009660,house,Louisiana,Steve,Scalise,R,True,SteveScalise,http://scalise.house.gov,http://www.scalise.house.gov/contactform_zipcheck.shtml,
W000812,N00033106,house,Missouri,Ann,Wagner,R,True,RepAnnWagner,http://wagner.house.gov,None,
